date;species_german;species;number;tolerance_no;sex;age;bodymass;forearm; 5th_finger ;epiphyseal_joints;activity;testicles;epididymis;teats;ring_type;ring_no;ring_no_initially;ring_position;relatives;GPS_unit;location;box_type;box_no;type_of_occurrence_general;type_of_occurrence_special;observation_type;evidence_type;x_lim;y_lim;tolerance_xy;district;federal_state;ringer;data_unclear;comment;editing_stauts;shipment_Dresden
04.04.2019;Abendsegler;Nyctalus noctula;1;genau;m;ad.;x;55;;;;;;;eWdf.;A123272;;;;;Fledermauskastenrevier Prieros;;33;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
01.12.2022;Abendsegler;Nyctalus noctula;1;genau;m;ad.;34.5;45.6;;;;;;;eWdf.;A169106;;;;;Fledermauskastenrevier Prieros;;45;Ruhestätte;Winterquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
23.05.2018;Abendsegler;Nyctalus noctula;1;genau;f;ad.;41;54.9;;;1;;;;eWdf.;A132636;;;;;Fledermauskastenrevier Prieros;;19;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;25.5;51.9;;;;;;;N;A106302;;;;;Fledermauskastenrevier Prieros;;38;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;28;53.9;;;;;;;N;A106303;;;;;Fledermauskastenrevier Prieros;;38;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2020;Abendsegler;Nyctalus noctula;1;genau;f;ad.;41;55.5;;;;;;;eWdf.;A137742;;;;;Fledermauskastenrevier Prieros;;25;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
01.06.2020;Abendsegler;Nyctalus noctula;1;genau;f;ad.;40;56;;;;;;;N;A95458;;;;;Fledermauskastenrevier Dolgensee;;4;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;415059;5788452;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2020;Abendsegler;Nyctalus noctula;1;genau;f;ad.;39.5;55.6;;;;;;;N;A144570;;;;;Fledermauskastenrevier Prieros;;17;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;26.5;53.8;;;;;;;N;A106305;;;;;Fledermauskastenrevier Prieros;;14;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2020;Abendsegler;Nyctalus noctula;1;genau;f;ad.;39.5;55.8;;;;;;;N;A144578;;;;;Fledermauskastenrevier Prieros;;21;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;25;50.8;;;;;;;N;A106306;;;;;Fledermauskastenrevier Prieros;;8;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
01.06.2020;Abendsegler;Nyctalus noctula;1;genau;f;ad.;39.5;55.3;;;;;;;eWdf.;A93736;;;;;Fledermauskastenrevier Dolgensee;;4;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;415059;5788452;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;26;53.3;;;;;;;N;A106307;;;;;Fledermauskastenrevier Prieros;;8;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;26;53.3;;;;;;;N;A106308;;;;;Fledermauskastenrevier Prieros;;8;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
22.09.2016;Abendsegler;Nyctalus noctula;1;genau;f;ad.;39;53.7;;5;;;;;eWdf.;A123163;;1;;;Fledermauskastenrevier Prieros;;21;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;19.01.2017;19.01.2017
24.08.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;26;51.7;;;;;;;N;A106309;;;;;Fledermauskastenrevier Prieros;;8;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
23.05.2018;Abendsegler;Nyctalus noctula;1;genau;f;ad.;39;55.6;;;1;;;;eWdf.;A132524;;;;;Fledermauskastenrevier Prieros;;9;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
