Bat,treatment,trial number,W,Time_in_tunnel,Flight_time,Time_not_flying,Include/Exclude
Nnoc04,control,1,2.301836873,64,64,0,Include
Nnoc04,gps,1,2.562140794,65,65,0,Include
Nnoc10,control,1,3.366802126,64,64,0,Include
Nnoc10,gps,1,2.553100007,64,64,0,Include
Nnoc07,gps,1,3.926458595,67,67,0,Include
Nnoc07,control,1,2.700971897,64,64,0,Include
Nnoc05,gps,1,3.197299598,62,62,0,Include
Nnoc05,control,1,3.864765848,63,63,0,Include
Nnoc06,gps,1,2.352324081,68,68,0,Include
Nnoc06,control,1,5.154376209,67,67,0,Include
Nnoc11,control,1,2.647066414,63,63,0,Exclude
Nnoc11,gps,1,4.197384491,88,67,21,Exclude
Nnoc07,gps,2,2.252687934,65,65,0,Include
Nnoc07,control,2,2.035839205,65,65,0,Include
Nnoc08,gps,1,2.927728052,74,71,3,Exclude
Nnoc08,control,1,4.954980779,112,62,50,Exclude
Nnoc06,control,2,2.728429598,64,64,0,Include
Nnoc06,gps,2,3.212978033,72,72,0,Include
Nnoc05,gps,2,2.242616911,65,65,0,Include
Nnoc05,control,2,1.823967541,62,62,0,Include
Nnoc03,gps,1,4.961330863,101,66,35,Exclude
Nnoc03,control,1,4.749474616,102,70,32,Exclude
Nnoc08,control,2,3.046151373,62,62,0,Exclude
Nnoc08,gps,2,3.231522904,96,62,34,Exclude
Nnoc10,control,2,2.810769371,73,73,0,Include
Nnoc10,gps,2,2.781712194,75,75,0,Include
Nnoc06,control,3,4.210472848,65,65,0,Include
Nnoc06,gps,3,2.416157437,64,64,0,Include
Nnoc11,gps,2,4.705597652,64,64,0,Include
Nnoc11,control,2,2.983106497,63,63,0,Include
