first.author;title;species;sex;age;lat;lon;study.location;study.date;tag.type;tag.mass;body.mass;forearm;body.mass.recap;date.retrieval;time.retieval;duration;landscape ;emergence.firstnight;emergence.secondnight;em.both;flight.duration.firstnight;flight.duration.secondnight;fd.both;travelled.distance.firstnight;max.distance.roost.firstnight;travelled.distance.secondnight;max.distance.roost.secondnight;health.problems;repository;ID.bat/tag;comment;scheduled_timeinterval_s
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;03.07.2017;untagged;0;29.5;54;29;;;5;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442042;-0.5;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;05.07.2017;untagged;0;32.5;55.3;28.5;;;3;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442047;-4;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;05.07.2017;untagged;0;33;51.7;29.5;;;3;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442050;-3.5;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;05.07.2017;untagged;0;33;54.1;29;;;12;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442044;-4;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;female;adult;52.547391;13.532654;Marzahn Berlin;07.07.2017;untagged;0;30;53.2;29;;;1;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442051;-1;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;22.07.2017;untagged;0;29.5;50.6;29.5;;;1;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442060;0;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;02.08.2017;untagged;0;32.5;52.9;30.5;;;1;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E435846;-2;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;02.08.2017;untagged;0;28;50.8;25;;;5;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442066;-3;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;02.08.2017;untagged;0;30;52.2;28;;;7;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442067;-2;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;02.08.2017;untagged;0;29;52.6;26.5;;;13;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E435840;-2.5;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;07.08.2017;untagged;0;29;54.2;29;;;2;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442069;0;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;female;adult;52.547391;13.532654;Marzahn Berlin;07.08.2017;untagged;0;27;53.8;27;;;8;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E436491;0;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;female;adult;52.547391;13.532654;Marzahn Berlin;07.08.2017;untagged;0;26;52.4;24.5;;;8;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442071;-1.5;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;09.08.2017;untagged;0;28.5;51.7;28;;;6;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E442062;-0.5;NA
Voigt;Movement responses of common noctule bats to the illuminated urban landscape;Nyctalus noctula;male;adult;52.547391;13.532654;Marzahn Berlin;15.08.2017;untagged;0;29;52;31;;;1;urban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E435805;2;NA
