"first.author","title","species","sex","age","lat","lon","study.location","study.date","tag.type","tag.mass","body.mass","forearm","body.mass.recap","date.retrieval","time.retieval","duration","landscape","emergence.firstnight","emergence.secondnight","em.both","flight.duration.firstnight","flight.duration.secondnight","fd.both","travelled.distance.firstnight","max.distance.roost.firstnight","travelled.distance.secondnight","max.distance.roost.secondnight","repository","ID.bat.tag","comment","scheduled_timeinterval_s","body.condition","rel.tag.mass","type"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-07-03,"untagged",0,29.5,54,29,"","",5,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442042","-0.5",NA,0.546296296296296,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-07-05,"untagged",0,32.5,55.3,28.5,"","",3,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442047","-4",NA,0.587703435804702,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-07-05,"untagged",0,33,51.7,29.5,"","",3,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442050","-3.5",NA,0.638297872340425,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-07-05,"untagged",0,33,54.1,29,"","",12,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442044","-4",NA,0.609981515711645,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","female","adult",52.547391,13.532654,"Marzahn Berlin",2017-07-07,"untagged",0,30,53.2,29,"","",1,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442051","-1",NA,0.56390977443609,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-07-22,"untagged",0,29.5,50.6,29.5,"","",1,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442060","0",NA,0.58300395256917,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-08-02,"untagged",0,32.5,52.9,30.5,"","",1,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E435846","-2",NA,0.614366729678639,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-08-02,"untagged",0,28,50.8,25,"","",5,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442066","-3",NA,0.551181102362205,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-08-02,"untagged",0,30,52.2,28,"","",7,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442067","-2",NA,0.574712643678161,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-08-02,"untagged",0,29,52.6,26.5,"","",13,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E435840","-2.5",NA,0.551330798479087,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","male","adult",52.547391,13.532654,"Marzahn Berlin",2017-08-07,"untagged",0,29,54.2,29,"","",2,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E442069","0",NA,0.535055350553506,0,"untagged"
"Voigt","Movement responses of common noctule bats to the illuminated urban landscape","Nyctalus noctula","female","adult",52.547391,13.532654,"Marzahn Berlin",2017-08-07,"untagged",0,27,53.8,27,"","",8,"urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E436491","0",NA,0.50185873605948,0,"untagged"
